t,x,y,yaw
116.352,29.753518763435785,0.19769924080037968,1.5730656919676191
116.384,29.7534616285779,0.19770365444388963,1.5731424103115557
116.416,29.753419741267656,0.19770249747310517,1.573137267140501
116.448,29.753397236359707,0.1977009444786135,1.573116672994263
116.480,29.75339108302954,0.19769957238896818,1.5730935805642068
116.512,29.753397695650868,0.19769849969769385,1.5730705728918024
116.544,29.75341502975528,0.197697782858043,1.5730489999161326
116.576,29.753476495796498,0.1976974245852513,1.5730347610808457
116.608,29.75353848375087,0.1976987224917289,1.5730549225942352
116.640,29.75348204129824,0.19770357529367796,1.5731361403105377
116.672,29.75344058673145,0.19770246455336093,1.573133058375853
116.704,29.753418324705535,0.1977009155266776,1.5731138091753594
116.736,29.753412496687417,0.1976995290350292,1.573091637316364
116.768,29.753419215608435,0.19769842879382213,1.5730691811494026
116.800,29.753436523904476,0.197697665218711,1.5730475453156263
116.832,29.753498339020428,0.1976972393548347,1.5730319453928057
116.864,29.753560605106905,0.19769848193347211,1.5730500662362252
116.896,29.75350428741409,0.19770375504427323,1.573134942305583
116.928,29.753462830887607,0.19770265016208785,1.5731330583139342
116.960,29.75344041622002,0.19770107213674729,1.5731144614478434
116.992,29.753434709306905,0.1976996427628327,1.5730926126465647
117.024,29.753441332178863,0.19769849562276237,1.5730703230049128
117.056,29.75345845501433,0.19769766842464218,1.5730483287759027
117.088,29.75352048591829,0.19769716650751396,1.573031728510947
117.120,29.753582922870777,0.19769833909186446,1.5730475800798547
117.152,29.753526651178014,0.19770402689667413,1.5731357969565924
117.184,29.75348513111551,0.19770291517588995,1.5731347728475389
117.216,29.753462494589538,0.19770129828021688,1.57311655473584
117.248,29.753457158471576,0.19769981678417636,1.5730947526882078
117.280,29.753463598465657,0.19769862692182055,1.573072679247772
117.312,29.753480448885025,0.19769773124088855,1.5730502553186407
117.344,29.753505928024786,0.1976972277677213,1.573030115841604
117.376,29.753574456446135,0.19769712677602524,1.573020946920265
117.408,29.753641774016536,0.19769869247212732,1.5730476777561684
117.440,29.75359236839333,0.19770179885141695,1.5731123047440483
117.472,29.75355617811559,0.19770087536385272,1.573105416530632
117.504,29.753536593864958,0.19769961955315515,1.5730849361880468
117.536,29.753533166885397,0.19769848178065658,1.5730614333821755
117.568,29.753541496963596,0.19769766902016023,1.5730393496997754
117.600,29.753559578861754,0.19769720827569484,1.5730197919546116
117.632,29.753622595108144,0.19769710617118008,1.5730102934829286
117.664,29.753685211396053,0.1976986791140049,1.5730368771058647
117.696,29.753632625455346,0.19770196369592682,1.5731032802453715
117.728,29.753593519947678,0.19770105196875046,1.5730977499954215
117.760,29.75357234685475,0.19769977692400184,1.573078250493879
117.792,29.7535665199367,0.19769864639445908,1.5730565096489324
117.824,29.75357259614461,0.19769779038441807,1.5730352380869985
117.856,29.7535886620287,0.1976972647980859,1.5730158133261838
117.888,29.753650439125085,0.19769707846811616,1.5730048546821114
117.920,29.753712009922808,0.1976985873609938,1.5730298362687412
117.952,29.753658627075904,0.19770221559202886,1.5730995689089748
117.984,29.75361873576956,0.1977012892150229,1.5730953443514206
118.016,29.7535968708203,0.19769996859657202,1.5730766444408433
118.048,29.753590513946474,0.19769878558389686,1.573055478681675
118.080,29.753595997119092,0.1976978680323516,1.573034444579296
118.112,29.75361147328456,0.19769726728978543,1.573014693587148
118.144,29.753635146659448,0.1976970636627882,1.5729992515186257
118.176,29.75370288736554,0.197697246181571,1.5729982186155709
118.208,29.75365620129754,0.19770106096521892,1.57307067770882
118.240,29.753621579365554,0.19770032848755573,1.5730721822525267
118.272,29.753603803239574,0.19769915514554826,1.5730583588723202
118.304,29.753600950893983,0.19769807566227451,1.5730408852017987
118.336,29.753609034698272,0.19769723270258865,1.5730226376776695
118.368,29.75362646288802,0.19769667061693053,1.5730045704525915
118.400,29.753651595063946,0.19769647509350083,1.5729893899417882
118.432,29.753720780380764,0.19769665143781232,1.5729872155871638
118.464,29.75367510834746,0.1977009160422129,1.5730642154083887
118.496,29.75364119478679,0.1977002420152416,1.5730678052550089
118.528,29.753623828689207,0.1976990841324875,1.5730553592984546
118.560,29.753621733305568,0.1976979973161542,1.5730387429908856
118.592,29.753630056766365,0.19769714413133568,1.5730212466203874
118.624,29.753647561481188,0.19769654402360232,1.5730032145554085
118.656,29.7536726795937,0.19769629405246308,1.5729873857764411
118.688,29.75374223827137,0.1976964050292516,1.572983026403493
118.720,29.75369679953219,0.19770108889611906,1.5730635253854304
118.752,29.753662993680027,0.19770042200850316,1.5730681825953272
118.784,29.753645558368472,0.19769923770992745,1.5730562947770317
118.816,29.753679114291103,0.19769798774294997,1.5730418368285726
118.848,29.753680909790702,0.19769829625453184,1.5730469631116095
118.880,29.753691175081816,0.197697636186726,1.5730290140298397
118.912,29.753710482520763,0.19769718709907316,1.5730090613841867
118.944,29.75373707125775,0.19769716329779263,1.5729967904690463
118.976,29.75380807531985,0.19769750747725764,1.5729997399198405
119.008,29.75376645356515,0.19770034155671345,1.5730598352090064
119.040,29.7537358910551,0.1976996320154215,1.5730560418077182
119.072,29.75372094533195,0.19769857557567455,1.5730389758367844
119.104,29.75371967242886,0.19769763835482218,1.5730193299587134
119.136,29.753728808993,0.19769696400721606,1.5730001818368708
119.168,29.753746650492275,0.19769660410431486,1.5729830290811087
119.200,29.753771549346027,0.1976966399797769,1.5729726384079705
119.232,29.75384135894496,0.19769702253676144,1.5729768462628275
119.264,29.75379924984937,0.19769997801158534,1.573039970567766
119.296,29.753767853009585,0.19769936914329472,1.5730394117101756
119.328,29.7537520595846,0.19769837815793992,1.5730251132173092
119.360,29.75374984532186,0.19769748572933335,1.5730079075171945
119.392,29.753757884590886,0.1976968285272589,1.5729906055051952
119.424,29.753774587567914,0.19769645908435476,1.572974552421961
119.456,29.753798372861844,0.19769646007386596,1.5729635967657034
119.488,29.75386761864357,0.19769680305609047,1.572966748265316
119.520,29.753825300040315,0.1976998338847826,1.573031580160859
119.552,29.75379346244731,0.19769928212790452,1.5730329022576879
119.584,29.75377712902013,0.19769831956134712,1.5730201340742618
119.616,29.75377457629157,0.19769743302423864,1.5730040702932397
119.648,29.75378211071238,0.19769676644070355,1.572987567980382
119.680,29.753798258671047,0.19769636483706485,1.5729716809989553
119.712,29.753821491036256,0.19769631009979743,1.5729592282167102
119.744,29.753850290497986,0.19769666492537938,1.5729580447262057
119.776,29.753814211495897,0.19769841279930306,1.5729998720106424
119.808,29.753789389119444,0.19769795971434082,1.5730033696632215
